OBJECTNUMMER;Energielabel;COORDS;LNG;LAT;
1;"E";"POLYGON((4.810331 52.402811,4.810335 52.402539,4.809992 52.402538,4.809991 52.402438,4.810127 52.402437,4.810126 52.402382,4.80999 52.402382,4.809988 52.402292,4.810126 52.402291,4.810123 52.402077,4.809678 52.402077,4.809686 52.40074,4.806743 52.400744,4.806734 52.401752,4.806436 52.401751,4.806439 52.400663,4.805879 52.400661,4.805873 52.401557,4.805575 52.401556,4.805562 52.401992,4.806296 52.401993,4.806297 52.402077,4.805562 52.402077,4.80555 52.403412,4.805424 52.403411,4.80543 52.402854,4.805371 52.402853,4.805374 52.402743,4.805315 52.402743,4.805315 52.402527,4.805087 52.402526,4.80509 52.402885,4.805031 52.402885,4.805034 52.403162,4.805166 52.403162,4.805165 52.4037,4.805793 52.403704,4.805799 52.403581,4.805428 52.403579,4.805429 52.403447,4.805557 52.403448,4.805556 52.403513,4.805852 52.403514,4.805854 52.403683,4.806157 52.403683,4.806156 52.403521,4.808561 52.403522,4.808562 52.403586,4.808788 52.403586,4.808787 52.403703,4.809338 52.403703,4.809338 52.403606,4.809035 52.403606,4.809036 52.403523,4.809452 52.403524,4.809451 52.403702,4.809899 52.403703,4.809897 52.403523,4.809976 52.403524,4.809974 52.403126,4.810148 52.40312,4.810156 52.402812,4.810331 52.402811),(4.807624 52.402079,4.807623 52.401994,4.807917 52.401995,4.807916 52.40208,4.807624 52.402079),(4.806741 52.402077,4.80674 52.401993,4.807331 52.401993,4.807331 52.402079,4.806741 52.402077))";"4,807683";"52,4021835";
2;"A";"POLYGON((4.940417 52.312744,4.940355 52.312643,4.939389 52.312311,4.939324 52.311829,4.939113 52.3118,4.938971 52.311037,4.93835 52.310825,4.936945 52.312373,4.939544 52.313259,4.939447 52.312669,4.940417 52.312744))";"4,938681";"52,312042";
3;"E";"POLYGON((4.865823 52.346813,4.865432 52.346761,4.863993 52.34733,4.864732 52.348028,4.864755 52.34816,4.864344 52.348323,4.86416 52.348256,4.863421 52.347558,4.862167 52.348056,4.863067 52.34891,4.863573 52.34871,4.862733 52.347913,4.862919 52.347841,4.863756 52.348636,4.863849 52.3486,4.865122 52.348771,4.865503 52.347713,4.865182 52.347668,4.864639 52.347155,4.8648 52.347091,4.865222 52.34749,4.865568 52.347538,4.865823 52.346813),(4.865467 52.347431,4.865319 52.347412,4.864953 52.347064,4.865471 52.346853,4.865655 52.34688,4.865467 52.347431),(4.863098 52.348797,4.862359 52.348084,4.862675 52.347958,4.86271 52.347991,4.862699 52.348049,4.86338 52.348692,4.863098 52.348797),(4.865121 52.348281,4.865009 52.348265,4.864958 52.348393,4.865079 52.34841,4.865067 52.348446,4.864673 52.348393,4.864604 52.34842,4.864569 52.348513,4.86502 52.348575,4.864993 52.34865,4.863901 52.348499,4.863829 52.348534,4.863173 52.347886,4.863118 52.347876,4.863033 52.347822,4.863371 52.347687,4.863649 52.347964,4.863592 52.347986,4.863538 52.347937,4.863429 52.347979,4.863564 52.348106,4.863672 52.348063,4.863627 52.348023,4.863684 52.348001,4.864024 52.348306,4.864372 52.348419,4.864889 52.348215,4.864864 52.347987,4.864687 52.347826,4.864727 52.347811,4.864654 52.347743,4.864802 52.347684,4.864574 52.347472,4.864428 52.347529,4.86435 52.347455,4.864494 52.347398,4.864432 52.347339,4.864227 52.347421,4.864174 52.347373,4.864539 52.347228,4.865064 52.347738,4.865303 52.347772,4.865121 52.348281))";"4,863995";"52,3478355";
4;"E";"POLYGON((4.912619 52.343421,4.912581 52.343107,4.912433 52.342734,4.912316 52.342538,4.911715 52.342455,4.911396 52.343304,4.911253 52.343286,4.911171 52.343501,4.909483 52.343265,4.909471 52.343298,4.909004 52.343232,4.908978 52.343302,4.908842 52.343283,4.908518 52.34419,4.908747 52.344222,4.911026 52.343866,4.912586 52.343658,4.912619 52.343421),(4.912441 52.343576,4.908698 52.344131,4.908769 52.34393,4.90881 52.343934,4.908801 52.344031,4.909107 52.343981,4.909133 52.34392,4.909074 52.343911,4.90919 52.343618,4.908909 52.343578,4.908998 52.343338,4.909439 52.3434,4.909456 52.343355,4.911411 52.343628,4.911631 52.343593,4.911654 52.343522,4.911334 52.343476,4.911374 52.343362,4.911431 52.343369,4.911451 52.343312,4.911503 52.343319,4.911534 52.34324,4.911586 52.343247,4.911842 52.342565,4.912186 52.342612,4.912403 52.343069,4.912446 52.343285,4.912441 52.343576))";"4,9105685";"52,34334";
5;"G";"POLYGON((4.925836 52.337421,4.925771 52.337399,4.925829 52.337334,4.924836 52.337004,4.925057 52.33676,4.924799 52.336674,4.924181 52.337373,4.92463 52.337523,4.924495 52.337677,4.924044 52.337528,4.923832 52.337768,4.923972 52.337815,4.923937 52.337856,4.924131 52.337921,4.924159 52.337889,4.924274 52.337927,4.924051 52.338177,4.924267 52.338249,4.924143 52.33839,4.923477 52.33817,4.923185 52.3385,4.923587 52.338633,4.923615 52.338602,4.923657 52.338616,4.923684 52.338585,4.923905 52.338658,4.923557 52.339052,4.922892 52.338831,4.922606 52.339155,4.922987 52.339282,4.923015 52.339251,4.923081 52.339273,4.923108 52.339241,4.923326 52.339313,4.922834 52.339869,4.922944 52.339906,4.92302 52.339821,4.923333 52.339924,4.923199 52.340075,4.92325 52.340092,4.923222 52.340124,4.923171 52.340106,4.923094 52.340195,4.923389 52.340293,4.923466 52.340204,4.923275 52.340141,4.923303 52.340109,4.92337 52.340131,4.923505 52.339979,4.923684 52.340038,4.923967 52.339718,4.923587 52.339591,4.923553 52.33963,4.92349 52.339609,4.923469 52.339631,4.923415 52.339613,4.923642 52.339355,4.923477 52.339299,4.923605 52.339155,4.92427 52.339375,4.924557 52.339051,4.924158 52.338919,4.924125 52.338955,4.924074 52.338938,4.924048 52.338966,4.923997 52.338949,4.92422 52.338697,4.924058 52.338643,4.924187 52.338495,4.924718 52.338672,4.924943 52.338417,4.924891 52.3384,4.924919 52.338369,4.92472 52.338302,4.924692 52.338334,4.924413 52.338242,4.924566 52.338068,4.924897 52.338177,4.925012 52.338047,4.924814 52.337982,4.924762 52.33804,4.924629 52.337996,4.924773 52.337833,4.925314 52.338012,4.925836 52.337421),(4.925263 52.337726,4.924753 52.337557,4.925029 52.337245,4.925538 52.337414,4.925263 52.337726),(4.92336 52.339844,4.923079 52.33975,4.923226 52.339583,4.923447 52.339657,4.923419 52.339689,4.923479 52.339709,4.92336 52.339844),(4.924653 52.337313,4.924455 52.337251,4.924562 52.337127,4.924758 52.337191,4.924653 52.337313),(4.923354 52.339282,4.923136 52.339209,4.923163 52.33918,4.923104 52.33916,4.92322 52.339027,4.923498 52.339119,4.923354 52.339282),(4.924588 52.33854,4.924248 52.338428,4.924384 52.338273,4.924727 52.338387,4.924588 52.33854),(4.923943 52.339184,4.923661 52.339091,4.923807 52.338927,4.924025 52.339,4.924001 52.339026,4.924065 52.339047,4.923943 52.339184),(4.924517 52.337966,4.924188 52.337857,4.924216 52.337826,4.92415 52.337804,4.924254 52.337689,4.924646 52.337819,4.924517 52.337966),(4.923933 52.338626,4.923712 52.338553,4.923741 52.338521,4.923678 52.3385,4.923802 52.338365,4.924083 52.338458,4.923933 52.338626))";"4,924221";"52,338484";
6;"E";"POLYGON((4.948196 52.308972,4.948112 52.30879,4.94776 52.308661,4.947731 52.308624,4.947761 52.308599,4.947724 52.308587,4.947649 52.3086,4.94737 52.308505,4.947037 52.308562,4.946877 52.308736,4.946583 52.308636,4.946543 52.308547,4.945923 52.308335,4.946083 52.30816,4.94599 52.307956,4.945701 52.307857,4.945688 52.307813,4.945653 52.307802,4.945635 52.307829,4.945566 52.307841,4.945205 52.307717,4.944907 52.307768,4.944705 52.30799,4.944636 52.308002,4.944597 52.307984,4.944578 52.308006,4.944604 52.308047,4.944442 52.308223,4.944535 52.308427,4.944825 52.308527,4.944836 52.30857,4.944872 52.308582,4.944893 52.30856,4.944958 52.308542,4.945165 52.308317,4.945274 52.308355,4.945391 52.308334,4.945452 52.308267,4.945858 52.308406,4.945808 52.308461,4.946204 52.3086,4.946242 52.308682,4.945998 52.308958,4.945944 52.30894,4.945932 52.308981,4.945873 52.308992,4.945659 52.309224,4.945545 52.309185,4.945435 52.309205,4.945371 52.309274,4.945 52.309146,4.944965 52.309149,4.944888 52.309122,4.944867 52.309144,4.944894 52.309185,4.94477 52.30932,4.944602 52.309263,4.944521 52.309276,4.944138 52.309147,4.944202 52.309077,4.944167 52.309009,4.944058 52.30897,4.94427 52.308737,4.944254 52.308701,4.944304 52.308674,4.944269 52.308661,4.944207 52.308672,4.944175 52.308707,4.944099 52.308682,4.943888 52.308912,4.943796 52.308881,4.943646 52.309044,4.943725 52.309215,4.943991 52.309307,4.944043 52.309251,4.944414 52.309378,4.944462 52.309333,4.944522 52.309353,4.944582 52.309343,4.944615 52.309308,4.944742 52.309351,4.944826 52.309566,4.945114 52.309665,4.945127 52.309708,4.945163 52.30972,4.945181 52.309693,4.945249 52.309681,4.94561 52.309805,4.945909 52.309753,4.946111 52.309532,4.946171 52.309522,4.946218 52.309538,4.946239 52.309516,4.946213 52.309475,4.946374 52.309298,4.946281 52.309094,4.946182 52.309058,4.946456 52.308757,4.946731 52.308854,4.946782 52.308798,4.947216 52.308948,4.947157 52.309014,4.94719 52.309086,4.947298 52.309124,4.947049 52.309404,4.947118 52.309428,4.947193 52.309415,4.947472 52.309511,4.947805 52.309453,4.947968 52.309276,4.948039 52.309269,4.948058 52.309247,4.948023 52.309234,4.947996 52.309194,4.948196 52.308972),(4.945757 52.309618,4.945723 52.309625,4.94563 52.309421,4.945735 52.309404,4.9459 52.30946,4.945757 52.309618),(4.945081 52.308119,4.944914 52.308062,4.945058 52.307904,4.945093 52.307897,4.945187 52.308101,4.945081 52.308119),(4.945624 52.309641,4.945367 52.309552,4.945459 52.309451,4.945566 52.309433,4.94566 52.309635,4.945624 52.309641),(4.945356 52.308071,4.94525 52.30809,4.945157 52.307887,4.94519 52.307881,4.945449 52.307969,4.945356 52.308071))";"4,945921";"52,3087615";
7;"E";"POLYGON((4.855187 52.370987,4.854588 52.370884,4.85457 52.370917,4.854367 52.370877,4.85438 52.370849,4.853822 52.37075,4.853807 52.370782,4.853747 52.370771,4.853697 52.370872,4.85376 52.370884,4.852646 52.373298,4.853203 52.373395,4.854324 52.370964,4.854532 52.371002,4.854496 52.371079,4.854574 52.371093,4.853739 52.3729,4.854546 52.373031,4.855187 52.370987),(4.854481 52.372754,4.854262 52.37273,4.854242 52.372813,4.854387 52.372829,4.854395 52.372802,4.854451 52.372808,4.854426 52.372919,4.853938 52.372832,4.85472 52.371122,4.854663 52.37111,4.854699 52.371046,4.855001 52.3711,4.854481 52.372754),(4.853085 52.373301,4.85284 52.373258,4.853928 52.370916,4.854161 52.370956,4.853085 52.373301))";"4,8539165";"52,372072";
8;"E";"POLYGON((4.912354 52.344861,4.911476 52.344886,4.911428 52.344902,4.911375 52.344887,4.909187 52.345139,4.909281 52.345444,4.909259 52.345533,4.909144 52.345625,4.909196 52.345648,4.90916 52.34575,4.908886 52.345713,4.908939 52.345596,4.908841 52.345578,4.908718 52.345902,4.911836 52.346339,4.912049 52.345786,4.911806 52.345758,4.911756 52.345729,4.91164 52.34581,4.911822 52.345321,4.911504 52.345277,4.911569 52.345105,4.909398 52.345333,4.909364 52.345225,4.911459 52.344977,4.912198 52.344955,4.912161 52.345061,4.912082 52.345052,4.911983 52.345378,4.911941 52.345373,4.911926 52.345425,4.912164 52.345454,4.912354 52.344861),(4.911735 52.346095,4.911793 52.346107,4.911754 52.346214,4.911414 52.346165,4.911441 52.346101,4.91163 52.346127,4.911667 52.346024,4.911478 52.345998,4.911514 52.345925,4.911689 52.34585,4.911787 52.345783,4.911755 52.345871,4.911816 52.345879,4.911735 52.346095))";"4,910536";"52,3456";
9;"D";"POLYGON((4.853539 52.370735,4.853476 52.370724,4.853489 52.370695,4.851302 52.370311,4.85125 52.370422,4.851004 52.370379,4.851019 52.370344,4.850427 52.370242,4.849227 52.372594,4.849623 52.372725,4.849599 52.37277,4.849879 52.372818,4.850968 52.370457,4.851214 52.3705,4.851098 52.370752,4.851124 52.37078,4.853278 52.371159,4.853429 52.370827,4.853495 52.370837,4.853539 52.370735),(4.853145 52.37101,4.852623 52.370919,4.85264 52.370884,4.852521 52.370863,4.852504 52.370898,4.851972 52.370804,4.851988 52.37077,4.851867 52.370749,4.851851 52.370783,4.851282 52.370684,4.851376 52.370483,4.853237 52.370815,4.853145 52.37101),(4.849591 52.372485,4.849518 52.37247,4.849501 52.372504,4.849446 52.372493,4.849766 52.371878,4.849814 52.371888,4.849779 52.37196,4.849832 52.371971,4.849591 52.372485),(4.849826 52.372586,4.849687 52.372562,4.850019 52.371864,4.849794 52.371823,4.850486 52.370496,4.850769 52.370546,4.849826 52.372586))";"4,851383";"52,3715305";
10;"C";"POLYGON((4.907341 52.361327,4.906975 52.361252,4.907053 52.36111,4.90473 52.360625,4.904224 52.361611,4.9055 52.361872,4.905572 52.361727,4.905637 52.36174,4.905563 52.361884,4.906892 52.362145,4.907341 52.361327),(4.906136 52.361806,4.905698 52.361721,4.905772 52.361589,4.906207 52.36168,4.906136 52.361806),(4.906685 52.36187,4.906576 52.361847,4.906656 52.361707,4.905695 52.361505,4.905575 52.361723,4.904453 52.361506,4.904477 52.361452,4.904612 52.361477,4.904642 52.361419,4.904504 52.36139,4.904529 52.361349,4.904645 52.361372,4.904713 52.361245,4.904682 52.361239,4.904709 52.361187,4.904785 52.3612,4.904814 52.361148,4.904657 52.361118,4.904673 52.361086,4.904749 52.3611,4.904778 52.361044,4.904702 52.36103,4.90473 52.360974,4.904806 52.360988,4.904836 52.360929,4.90476 52.360915,4.904787 52.360863,4.904863 52.360877,4.904893 52.360817,4.904817 52.360803,4.904861 52.36072,4.905032 52.360757,4.905004 52.360807,4.905097 52.360827,4.90507 52.360871,4.905129 52.360884,4.905155 52.360839,4.905392 52.36089,4.905344 52.360974,4.90554 52.361016,4.905588 52.360931,4.90578 52.360973,4.905732 52.361057,4.905829 52.361078,4.905877 52.360994,4.906058 52.361032,4.90603 52.361081,4.906594 52.361201,4.906633 52.36113,4.906688 52.361141,4.906637 52.361236,4.906867 52.361282,4.906848 52.361316,4.906678 52.361282,4.906658 52.361316,4.905894 52.361156,4.905852 52.361223,4.90565 52.361182,4.905698 52.3611,4.905595 52.361078,4.905576 52.361108,4.905547 52.361102,4.905535 52.361123,4.90548 52.361112,4.905458 52.361149,4.9053 52.361118,4.905321 52.361074,4.905151 52.361037,4.905058 52.361202,4.906709 52.361569,4.906798 52.361407,4.906926 52.361434,4.906685 52.36187))";"4,9057825";"52,361385";
