LNG;LAT;ENERGY_PERFORMANCE
4.807683;52.4021835;5.315
4.938681;52.312042;1.821
4.863995;52.3478355;5.625
4.9105685;52.34334;5.975
4.924221;52.338484;7.252
4.945921;52.3087615;5.577
4.8539165;52.372072;5.323
4.910536;52.3456;5.265
4.851383;52.3715305;4.32
4.9057825;52.361385;3.11
4.9195515;52.372875;5.456
4.948818;52.3256;2.083
4.8625305;52.373396;6.179
4.9629595;52.301767;4.827
4.9702;52.2968255;5.874
4.8762265;52.384552;3.616
4.9435045;52.3655225;3.271
4.792242;52.3947395;6.699
4.960001;52.301174;4.79
4.9104425;52.344572;4.032
4.8714545;52.3609885;4.191
4.8611845;52.367601;4.85
4.850881;52.3685095;5.311
4.893218;52.3475685;4.428
4.904258;52.364357;2.356
4.966176;52.2955705;5.227
4.878247;52.389227;4.386
4.87524;52.3374045;2.313
4.9194445;52.3581695;4.721
4.9109035;52.3672735;6.022
4.917004;52.3434525;3.379
4.882065;52.3873615;4.701
4.940847;52.3655585;3.314
4.9047505;52.363651;2.196
4.860417;52.347622;4.53
4.8749195;52.3689365;4.977
4.8481775;52.371164;4.109
4.944831;52.31896;3.295
4.887818;52.349119;2.027
4.946107;52.319416;3.377
4.944616;52.3210255;3.942
4.9435165;52.318512;3.338
4.9433085;52.3205855;3.266
4.8559625;52.3670675;5.553
4.8948085;52.356861;3.204
4.933726;52.3627205;3.625
4.915044;52.384142;5.142
4.879525;52.389965;4.872
4.942029;52.320129;3.764
4.90941;52.3623275;3.434
4.8880705;52.388729;4.349
4.852302;52.3657435;6.693
4.8723995;52.380148;3.048
4.946509;52.314337;2.846
4.8587505;52.3784295;4.978
4.867616;52.3404275;4.024
4.920252;52.3571015;3.47
4.9340695;52.361944;4.142
4.8721745;52.36825;3.293
4.9416025;52.3223305;3.099
4.853968;52.3396855;5.205
4.8587665;52.346426;5.525
4.8899365;52.3453655;5.439
4.864892;52.366459;5.527
4.882949;52.3542955;3.684
4.937833;52.362146;3.938
4.923119;52.3545035;5.5
4.784588;52.3949355;3.663
4.8561865;52.3801175;4.878
4.821111;52.374603;2.497
4.9448895;52.317036;3.231
4.889001;52.4184135;4.565
4.893182;52.349308;3.91
4.8710055;52.3678585;3.215
4.875834;52.367628;3.377
4.9409185;52.3608745;3.657
4.9613545;52.2995605;5.115
4.863909;52.365412;5.783
4.8617455;52.348839;5.652
4.9688785;52.2921335;3.129
4.873733;52.368658;4.508
4.8568735;52.3780365;5.663
4.9198385;52.3575995;3.047
4.9766795;52.3174305;5.306
4.865542;52.363007;4.075
4.9377855;52.358435;3.372
4.8572995;52.3845385;3.207
4.8616805;52.378744;6.699
4.928537;52.36388;3.06
4.870059;52.3818895;6.088
4.91437;52.36018;3.009
4.9055195;52.371042;5.476
4.930586;52.3689;1.113
4.9848365;52.3090995;4.166
4.8615495;52.3453575;5.679
4.940767;52.3643035;3.758
4.893821;52.36829;3.275
4.9099295;52.3464315;3.042
4.945064;52.3236045;3.249
4.900686;52.3620055;4.124
4.947926;52.324585;3.58
4.946517;52.3240835;3.482
4.9151525;52.331896;4.483
4.896483;52.341642;5.396
4.8672365;52.369228;5.385
4.8774445;52.3913175;4.076
4.937167;52.369913;3.779
4.852562;52.369862;4.447
4.8829805;52.389107;3.522
4.8743025;52.3819885;3.215
4.871635;52.3718565;3.786
4.9729945;52.293377;3.075
4.9164925;52.337992;7.305
4.9288825;52.3633135;3.545
4.856028;52.365103;6.194
4.898937;52.356106;4.301
4.7955645;52.3502045;1.43
4.8698715;52.3695335;4.277
4.9440505;52.3247185;3.314
4.805917;52.359209;5.472
4.9332965;52.3650665;4.759
4.880731;52.388525;4.694
4.862211;52.350634;6.384
4.9406985;52.3766425;3.693
4.944566;52.376768;2.529
4.892144;52.3838345;2.533
4.861482;52.3649345;4.472
4.973801;52.3210125;4.027
4.892243;52.3433075;4.274
4.9370095;52.364088;4.958
4.806134;52.367943;2.505
4.937436;52.3617575;3.451
4.9192405;52.4134825;3.94
4.9144495;52.3884715;2.696
4.925057;52.3637565;2.485
4.888595;52.3822655;3.161
4.942037;52.362377;3.829
4.944451;52.363991;3.764
4.8533235;52.3495905;5.822
4.962281;52.292511;1.468
4.877326;52.3644275;3.952
4.870634;52.380314;5.712
4.915111;52.357029;3.919
4.884583;52.3485775;4.806
4.9335815;52.3632505;3.722
4.942326;52.3615855;3.99
4.970192;52.314211;5.201
4.8020625;52.359291;3.485
4.8605485;52.346075;5.162
4.9192165;52.354509;5.473
4.875201;52.390718;4.533
4.8737835;52.377087;5.13
4.8525425;52.3626005;4.388
4.854124;52.368477;5.685
4.940266;52.3625985;5.585
4.933422;52.36216;2.076
4.9369625;52.3634315;4.583
4.9444915;52.371826;3.985
4.877148;52.389366;4.973
4.870372;52.366083;3.599
4.9136835;52.3495045;5.177
4.9170725;52.3975675;4.856
4.9414275;52.3708385;2.96
4.860156;52.363268;4.021
4.8617555;52.351364;5.163
4.830449;52.3731955;7.98
4.936146;52.3532275;4.858
4.8730165;52.3772675;5.327
4.8464515;52.35358;5.845
4.8177105;52.3702395;1.178
4.8546735;52.365053;6.568
4.9568645;52.320217;4.883
4.8693925;52.3711055;4.661
4.883195;52.3536965;3.996
4.896762;52.350517;5.009
4.9175825;52.353199;4.194
4.8544785;52.3671645;5.012
4.9425675;52.3609755;3.212
4.9134065;52.3558715;4.654
4.854592;52.3832035;3.193
4.8588655;52.365448;3.621
4.8554055;52.345579;2.535
4.9167565;52.3574695;3.279
4.9011;52.351122;5.158
4.911603;52.359453;4.622
4.9481265;52.3145905;6.924
4.874682;52.3672945;4.9
4.862535;52.358839;3.341
4.871947;52.366524;3.993
4.985892;52.2972275;2.044
4.8509585;52.3717155;3.728
4.855045;52.3463845;3.408
4.859229;52.3498875;6.511
4.8812105;52.3900125;3.894
4.971225;52.3204935;5.002
4.9248375;52.3642995;2.472
4.8931645;52.343515;6.918
4.856561;52.3466205;3.078
4.794666;52.354658;2.186
4.9134825;52.3852825;4.361
4.9149895;52.3484195;5.978
