name;description;longitude;latitude
Harry Koningsbergerstraat 82 Amsterdam;Stopcontact Vincent Everts Prive schuko;4.83779;52.38301
Energieweg 21 Zoeterwoude;Krachtstroom Alfen LPD_0112 mennekes;4.526335;52.139907
Via M. O. V. M. C. V. Giovanni Barbini  Cagliari;Stopcontact EV-Box EVB-P1418234 mennekes;9.1149671;39.20979527
Energieweg 21 Zoeterwoude;Krachtstroom Alfen LPD_0111 mennekes;4.526335;52.139907
Fuldatalstraße 43 Kassel;Krachtstroom NewMotion ICUEVE000308 mennekes;9.52003000000002;51.32735
Lisdoddelaan 84-86 Amsterdam;Krachtstroom EV-Box EVB-P1446047 mennekes;4.99460908;52.35246093
Doelenpad 8 Rijkevorsel;Krachtstroom Gemeente Rijkevorsel mennekes;4.7607379;51.3493992
Watermanstraat 40 Apeldoorn;Krachtstroom EV-Box EVB-P1420140 mennekes;5.9834072;52.24116598
Avenue des Artisans 38 Ath;Stopcontact EV-Box EVB-P1412009 mennekes;3.86474645;50.6669547
Wetering 25 Oss;Stopcontact NewMotion 02014787 mennekes;5.5023202;51.775176
Hereweg 93 Groningen;Krachtstroom EV-Box EVB-P1437059 mennekes;6.57431;53.20434
Hilleniussingel 9 Rotterdam;Krachtstroom EV-Box EVB-P1250127 mennekes;4.49228;51.95614
Dreef 6 Zutphen;Krachtstroom EV-Box EVB-P1419170 mennekes;6.19704;52.14813
Benoordenhoutseweg 46 Den Haag;Krachtstroom EV-Box EVB-P1413220 mennekes;4.32465255;52.0901535
Benoordenhoutseweg 46 Den Haag;Krachtstroom EV-Box EVB-P1413129 mennekes;4.323919;52.08983912
Kerkweg 100 Lekkerkerk;Krachtstroom EV-Box EVB-P1536055 mennekes;4.6844;51.8999
Havenkade 5C Elburg;Stopcontact EVnetNL AL346 mennekes;5.828667;52.449546
Rivium 2e straat 22-24 Capelle aan den IJssel;Stopcontact EV-Box EVB-P1611738 mennekes;4.54537;51.9108
Place du Palais  Monaco;Krachtstroom EV-Box EVB-P1541079 mennekes;7.42202;43.73162
Van der Boechorststraat 38 Amsterdam;Krachtstroom EV-Box EVB-P1414323 mennekes;4.86072775;52.32903335
Burgemeester van Banningstraat 28 Gennep;Stopcontact EV-Box EVB-P1413011 mennekes;5.9692;51.69597
Institutenweg  Enschede;Krachtstroom NL-GFX-A0196 mennekes;6.8440371751785;52.237958051086
Cornelis Sterrenburgstraat 56 Hoek van Holland;Krachtstroom EV-Box EVB-P1309090 mennekes;4.13787;51.982
Senecastraat 21 Amsterdam;Krachtstroom Nuon EVB-P1607175 mennekes;4.813206;52.3734
Kapellei 190 Zoersel;Krachtstroom EV-Box EVB-P1611823 mennekes;4.62215;51.25601
Hoogstraat 11B Sint-Michielsgestel;Stopcontact EV-Box EVB-P1548074 mennekes;5.35724758;51.64915543
Hillelaan 30 Rotterdam;Krachtstroom EV-Box EVB-P1417158 mennekes;4.49711;51.90415
Arsenaal 2 Woudrichem;Krachtstroom EVnetNL PNB-ENO088 mennekes;5.004168;51.815813
Belvedere 1 Hoofddorp;Stopcontact EV-Box EVB-P1409053 mennekes;4.64476245;52.30181385
Frans Netscherlaan 21 Santpoort-Noord;Krachtstroom EV-Box EVB-P1419124 mennekes;4.6396707;52.4309973
Aldenhof 7008 Nijmegen;Stopcontact EV-Box EVB-P1424180 mennekes;5.80221;51.80913
Van Welderenstraat 122 Nijmegen;Krachtstroom EV-Box EVB-P1338008 mennekes;5.86063592;51.84258795
Batouwse Singel 51 Lienden;Stopcontact EV-Box EVB-P1407083 mennekes;5.49171263;51.92562595
Wierdensestraat 147 Almelo;Stopcontact EV-Box EVB-P1536516 mennekes;6.64940048;52.35652108
Kruiszijweg 10 Nederweert;Stopcontact EV-Box EVB-P1536112 mennekes;5.78678;51.28115
Lekdijk West 33 Bergambacht;Stopcontact EV-Box EVB-P1536402 mennekes;4.77464813;51.91956878
Lekdijk West 33 Bergambacht;Stopcontact EV-Box EVB-P1536402 mennekes;4.77464813;51.91956878
Beverwijkstraat 9 Amsterdam;Krachtstroom Nuon EVB-P1552256 mennekes;4.95553;52.393723
Senecastraat 21 Amsterdam;Krachtstroom Nuon EVB-P1607175 mennekes;4.813206;52.3734
Goirkekanaaldijk  Tilburg;Stopcontact EV-Box EVB-P1415220 mennekes;5.05113392;51.58431025
Prins Hendrikkade 154 Rotterdam;Krachtstroom EV-Box EVB-P1408106 mennekes;4.49124;51.91041
Loodsboot 15 Houten;Stopcontact EV-Box EVB-P1416008 mennekes;5.1486112;52.0227442
Jogchem van der Houtweg 6 De Lier;Krachtstroom EV-Box EVB-P1416021 mennekes;4.22719777;51.97374997
J.C. Kellerlaan 8 Hardenberg;Krachtstroom EV-Box EVB-P1536218 mennekes;6.631687;52.566261
Sint Paulusstraat 110 Tilburg;Krachtstroom EVnetNL PNB-ENO097 mennekes;5.088729;51.569995
Vondellaan 38 Arnhem;Krachtstroom Allego NLALLEGO0001572 mennekes;5.9464884;51.99532
Govert 't Hoenstraat 32 Zaandam;Krachtstroom Allego NLALLEGO0009851 mennekes;4.83113;52.44476
Baanakker 1 Koog aan de Zaan;Krachtstroom Allego NLALLEGO0009881 mennekes;4.79448;52.4607
Baanakker 1 Koog aan de Zaan;Krachtstroom Allego NLALLEGO0009882 mennekes;4.79448;52.4607
Earl Bakkenstraat 10 Heerlen;Krachtstroom Ecotap 1601370 mennekes;6.005851;50.838929
Lozerlaan 453 (P&R-terrein Randstadrail Uithof) Den Haag;Krachtstroom Alfen DHPR04011 mennekes;4.245529;52.039213
Lozerlaan 453 (P&R-terrein Randstadrail Uithof) Den Haag;Krachtstroom Alfen DHPR04012 mennekes;4.245529;52.039213
De Draei 25 Heeg;Krachtstroom EV-Box EVB-P1423071 mennekes;5.61444458;52.97253863
Galvanistraat 20 Nijkerk;Stopcontact NewMotion 01000830 mennekes;5.48356250000006;52.2224835
Weegbree 33 Raamsdonksveer;Krachtstroom EV-Box EVB-P1423095 mennekes;4.88724918;51.70806152
Weegbree 33 Raamsdonksveer;Krachtstroom EV-Box EVB-P1423095 mennekes;4.88724918;51.70806152
Hovenlaan 21 Dordrecht;Stopcontact NewMotion 02006311 mennekes;4.7284058;51.7930135
Herestraat 49 Leuven;Krachtstroom UZ Leuven Gasthuisberg Tabor 2 mennekes;4.6724997;50.879949
Dwergbieslaan 60 Utrecht;Krachtstroom Nuon EVB-P1607257 mennekes;4.998469;52.097584
Papendorpseweg 99 Secoya Building Gebouw C Utrecht;Krachtstroom Alfen NLMAB_0911 mennekes;5.088218;52.06293
Tjaskermolenlaan 7 Woerden;Krachtstroom EV-Box EVB-P1548120 mennekes;4.88912903;52.07484315
Directiekade 15 Rotterdam;Krachtstroom EV-Box EVB-P1542247 mennekes;4.4230218;51.8971822
Couwenburg 58 nabij Cityrent Rotterdam;Snellader Allego NLALLEGO0000282 combo;4.47926;51.925503
Couwenburg 58 nabij Cityrent Rotterdam;Snellader Allego NLALLEGO0000281 chademo;4.47926;51.925503
Abrikozenstraat 209 Den Haag;Krachtstroom Alfen GDH4012 mennekes;4.254382;52.068259
Kollenbergweg 56 1101 AR Amsterdam;Krachtstroom Alfen MANS_0172 mennekes;4.93812;52.305504
Kollenbergweg 56 1101 AR Amsterdam;Krachtstroom Alfen MANS_0171 mennekes;4.93812;52.305504
Kerkweg 100 Lekkerkerk;Krachtstroom EV-Box EVB-P1536055 mennekes;4.6844;51.8999
Rietven 282 Veghel;Krachtstroom NewMotion 03001026 mennekes;5.55493879999995;51.6291752
F. Bordewijkstraat 3 Grootebroek;Stopcontact EV-Box EVB-P1437142 mennekes;5.21556065;52.70121998
Baambrugse Zuwe 1 Vinkeveen;Krachtstroom Allego NLALLEGO0008142 mennekes;4.9328517;52.21991866
Earl Bakkenstraat 10 Heerlen;Krachtstroom Ecotap 1702294 mennekes;6.005851;50.838929
Viaduct 3 (noordzijde Afsluitdijk) Zurich;Snellader Allego NLALLEGO0001451 chademo;5.384174;53.09903
Viaduct 3 (noordzijde Afsluitdijk) Zurich;Krachtstroom Allego NLALLEGO0001452 mennekes;5.384174;53.09903
Tunnelweg 7F Haarle;Krachtstroom NewMotion ICUEVE000509 mennekes;6.41422999999998;52.3802329
Kortewelle 20 Rotterdam;Krachtstroom EV-Box EVB-P1516033 mennekes;4.51437;51.88965
Duffelsesteenweg 145 Kontich;Krachtstroom Sportcomplex De Nachtegaal mennekes;4.4530694;51.1292154
Hekkerstraat 64 Wetteren;Krachtstroom Zeshoek Wetteren mennekes;3.8877619;51.0049165
Sportweg 8 Lummen;Krachtstroom Zwembad Lummen mennekes;5.189624;50.991178
Fascinatio Boulevard 1302 Capelle aan Den IJssel;Krachtstroom EV-Box EVB-P1348111 mennekes;4.54476;51.91881
Vuilcop 9 Nieuwegein;Krachtstroom EV-Box EVB-P1421171 mennekes;5.12598917;52.02351608
Het Plein 100 Hengelo;Krachtstroom NewMotion 03002656 mennekes;6.7672724157303;52.2895776090908
Het Plein 100 Hengelo;Krachtstroom NewMotion 03001301 mennekes;6.76715976295168;52.2895890934948
Jeruzalemstraat 75 Rotterdam;Krachtstroom EV-Box EVB-P1427212 mennekes;4.50772;51.92958
Jeruzalemstraat 75 Rotterdam;Krachtstroom EV-Box EVB-P1427212 mennekes;4.50772;51.92958
Hezemeer 14 Laakdal;Krachtstroom Hezemeer mennekes;5.0286774;51.1116085
Metternicher Strasse 5 Weilerwist;Krachtstroom EV-Box EVB-P1445011 mennekes;6.85289;50.75267
Pieter de Hoochweg 14 Rotterdam;Krachtstroom EV-Box EVB-P1408115 mennekes;4.45903;51.90784
Geesterweg 1 (Van der Valk Akersloot) Akersloot;Krachtstroom Allego NLALLEGO0001462 mennekes;4.722723;52.54767
Nieuwe Schoolstraat 20 Den Haag;Krachtstroom Alfen GDH3871 mennekes;4.311544;52.084829
Geesterweg 1 (Van der Valk Akersloot) Akersloot;Snellader Allego NLALLEGO0001461 chademo;4.722723;52.54767
Lepelaar 4 (A6 oostzijde-Haje restaurant Lelystad;Snellader Allego NLALLEGO0001441 chademo;5.425186;52.433759
Lepelaar 4 (A6 oostzijde-Haje restaurant Lelystad;Krachtstroom Allego NLALLEGO0001442 mennekes;5.425186;52.433759
Veengang 18 Ooststellingwerf;Krachtstroom NewMotion ICUEVE000562 mennekes;6.2961186826033;52.978770643589996
Nieuwe Schoolstraat 20 Den Haag;Krachtstroom Alfen GDH3872 mennekes;4.311544;52.084829
Voorduinstraat 22 Haarlem;Stopcontact NewMotion 02011698 mennekes;4.632383;52.4011345
Hermann-Bahlsen-Straße 1 Barsinghausen;Stopcontact NewMotion 02010164 mennekes;9.46350955963135;52.3146438598633
Prinses Irenestraat 3  De Lier;Stopcontact EVnetNL DB0062 mennekes;4.250979;51.97431
Emily Brontesingel 52 Arnhem;Krachtstroom Allego NLALLEGO0001581 mennekes;5.905678;51.941405
Van Lansschotlaan 2 Vught;Krachtstroom Allego NLALLEGO0012141 mennekes;5.28554043;51.6549081
Van Lansschotlaan 2 Vught;Krachtstroom Allego NLALLEGO0012142 mennekes;5.28554043;51.6549081
Hauptstraße 27 Chieming;Krachtstroom NewMotion 03001358 mennekes;12.53609;47.89019
Bunschoter Veenkamp 11 Bunschoten-Spakenburg;Stopcontact NewMotion 02011632 mennekes;5.379387;52.2332047
Fjordvegen 14 Kaldfjord;Stopcontact NewMotion 02010218 mennekes;18.745551;69.677575
Fjordvegen 14;Stopcontact NewMotion 02010232 mennekes;18.745551;69.677575
Herbartstr. 15 Berlin;Krachtstroom Allego DEALLEGO0000352 mennekes;13.285287;52.507096
Rijn 10 Den Haag;Krachtstroom EV-Box EVB-P1551140 mennekes;4.38569033;52.0683299
Gompenstraat 21 Waalwijk;Stopcontact EV-Box EVB-P1425194 mennekes;5.0305147;51.70015597
Zwolseweg 17-21 Barendrecht;Krachtstroom EV-Box EVB-P1414158 mennekes;4.51016012;51.86044325
Driebergsestraatweg 48 Doorn;Krachtstroom EV-Box EVB-P1422091 mennekes;5.30665;52.04596
